,mean,median,mode,std,min,max,range,25%,75%,IQR
interest_field,4.3,4.0,5.0,0.7943767889097848,2,5,3,4.0,5.0,1.0
expectation_clarity,3.9,4.0,4.0,0.6617635789938568,2,5,3,4.0,4.0,0.0
expectation_alignment,4.0,4.0,4.0,0.8304547985373997,2,5,3,4.0,4.75,0.75
career_expectations,4.333333333333333,4.0,4.0,0.6064784348631227,3,5,2,4.0,5.0,1.0
perceived_difficulty,4.066666666666666,4.0,4.0,0.6914918072835209,3,5,2,4.0,4.75,0.75
study_habits,3.3,3.5,4.0,0.952311163288627,2,5,3,2.25,4.0,1.75
time_management,3.1,3.0,4.0,0.9228890171255885,2,5,3,2.0,4.0,2.0
academic_stress,4.1,4.0,4.0,0.7588557629520364,3,5,2,4.0,5.0,1.0
capacity_alignment,4.066666666666666,4.0,4.0,0.9444331755018487,2,5,3,4.0,5.0,1.0
academic_enjoyment,4.133333333333334,4.0,4.0,0.8603661343041527,2,5,3,4.0,5.0,1.0
area_identification,4.3,4.0,4.0,0.7022132498578064,3,5,2,4.0,5.0,1.0
intrinsic_motivation,4.2,4.0,4.0,0.8051557998728975,2,5,3,4.0,5.0,1.0
extrinsic_motivation,2.8666666666666667,3.0,2.0,1.3829836145670416,1,5,4,2.0,4.0,2.0
social_impact,4.433333333333334,4.0,4.0,0.5683207771559355,3,5,2,4.0,5.0,1.0
professional_value,4.4,4.0,4.0,0.4982728791224398,4,5,1,4.0,5.0,1.0
