,mean,median,std,min,25%,75%,max,range,IQR
ingresos_totales,133405186368.00845,108595792209.69601,60935961366.19316,58382366064.33834,81641233568.95084,186702221243.27005,242257334983.92548,183874968919.58713,105060987674.31921
gastos_personal,71482010995.41713,57975311689.14288,33388536268.364918,31717384437.46397,42456991655.92044,100648449053.08728,138248782514.57654,106531398077.11256,58191457397.16684
liquidez,1.3676390498054387,1.340552987075359,0.23538676401076317,0.772001314366346,1.2347507050422157,1.51178962997273,1.9215938142881,1.149592499921754,0.2770389249305143
dias_efectivo,95.21197469301976,97.9081739859224,25.59532102454914,40.50935480394774,74.1481834737572,114.16451151018396,153.77592470398332,113.26656990003559,40.016328036426756
cfo,5704602014.158118,6335817431.093542,14010839725.40255,-38417592441.7319,4222412339.2721195,11282998129.971916,46883716949.12749,85301309390.85939,7060585790.699797
participacion_ley30,0.3258455413396877,0.32288956382199097,0.05307507072812773,0.2031915578991444,0.28926515053797114,0.3644239371816135,0.4429085099791788,0.2397169520800344,0.07515878664364234
participacion_regalias,0.06213757629082822,0.0621522286533225,0.01988565216041965,0.0191580716900915,0.04890640573479188,0.07509729144370433,0.1153320614220374,0.09617398973194591,0.026190885708912454
participacion_servicios,0.21193502664813835,0.2128739307332966,0.05378902765740979,0.0800705447269637,0.18361641434989803,0.2445740783251078,0.3293393044486893,0.2492687597217256,0.06095766397520977
participacion_matriculas,0.1788323868007406,0.178637961592755,0.042752350821730394,0.0777178158372856,0.15396701041813848,0.20884186867957868,0.275694610637509,0.1979767948002234,0.0548748582614402
hhi_fuentes,0.25164192453172335,0.2479175151065036,0.019210308984253004,0.2187606750549695,0.23866697729626785,0.26260088055479014,0.3201647369841567,0.10140406192918722,0.023933903258522293
endeudamiento,0.3912251957105768,0.38836063440573587,0.07585271731110284,0.2294584816879209,0.3451367231457575,0.42275269858872727,0.5938484085649725,0.3643899268770515,0.07761597544296978
tendencia_ingresos,0.030440109436001218,0.0294609259791408,0.04341628196125849,-0.06663316454045,0.0087931892591517,0.0622672437087771,0.1250314401828751,0.19166460472332508,0.0534740544496254
gp_ratio,0.5345933990988903,0.5323889153582657,0.04096290723999565,0.4229328302642771,0.5127824670618618,0.5575113089482431,0.6589321570907727,0.2359993268264956,0.044728841886381265
